"Table S8 GO terms associated with the cluster-enriched genes of bc-Smart-seq2 single-cell RNA sequencing (related to Fig S5).","...2","...3","...4","...5","...6","...7","...8","...9","...10"
"Cluster2","GO:0051222","positive regulation of protein transport","12/131","418/18670","3.89852159623393E-5","1.19445065291842E-3","9.4978566726257199E-4","AIF1/GLUL/CD14/TREM2/PPIA/MPC2/BCAP31/CHP1/UBL5/RACK1/RAN/PHPT1","12"
"Cluster2","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","12/131","419/18670","3.9897684568463203E-5","1.20785490306669E-3","9.6044426135360702E-4","UBA52/PSMB6/RNF144B/RPS27A/ANAPC11/PSME2/RBX1/BCAP31/PSMB3/RACK1/SEC61B/NOP53","12"
"Cluster2","GO:0061615","glycolytic process through fructose-6-phosphate","4/131","28/18670","4.15943320265957E-5","1.22993472492596E-3","9.7800136870367701E-4","ALDOA/ENO1/TPI1/PGK1","4"
"Cluster2","GO:0061620","glycolytic process through glucose-6-phosphate","4/131","28/18670","4.15943320265957E-5","1.22993472492596E-3","9.7800136870367701E-4","ALDOA/ENO1/TPI1/PGK1","4"
"Cluster2","GO:0009435","NAD biosynthetic process","5/131","56/18670","4.5164199941749202E-5","1.32014437300998E-3","1.04973294722444E-3","ALDOA/NAMPT/ENO1/TPI1/PGK1","5"
"Cluster2","GO:0002758","innate immune response-activating signal transduction","10/131","298/18670","4.8593281290319102E-5","1.4042353900145599E-3","1.1165992028553001E-3","UBA52/PSMB6/CD14/S100A8/RPS27A/PSME2/S100A9/PSMB3/NOP53/LYN","10"
"Cluster2","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","5/131","61/18670","6.8396770532971304E-5","1.9543032299477099E-3","1.5539940413227401E-3","RPS3/S100A8/S100A9/BCAP31/RACK1","5"
"Cluster2","GO:0034612","response to tumor necrosis factor","10/131","312/18670","7.1302918647184299E-5","2.0147035791087701E-3","1.6020223008332299E-3","RPS3/PSMB6/CD14/CCL4/LIMS1/PSME2/CXCL16/CCL3L3/PSMB3/RACK1","10"
"Cluster2","GO:0070498","interleukin-1-mediated signaling pathway","6/131","100/18670","7.3925967068981895E-5","2.0658652116090199E-3","1.6427042537827E-3","UBA52/PSMB6/RPS27A/PSME2/RBX1/PSMB3","6"
"Cluster2","GO:0016072","rRNA metabolic process","9/131","253/18670","7.5111412843337797E-5","2.0761774223979098E-3","1.6509041655841199E-3","RPS14/RPS2/RPS6/RPS15/RPL35/RPL7/NOP10/RPS17/NOP53","9"
"Cluster2","GO:0010952","positive regulation of peptidase activity","8/131","197/18670","7.6175101476317402E-5","2.08293852746532E-3","1.6562803614714901E-3","RPS3/S100A8/PSME2/S100A9/BCAP31/RACK1/LYN/VSIR","8"
"Cluster2","GO:0034341","response to interferon-gamma","8/131","199/18670","8.1747349331120402E-5","2.2115266952025402E-3","1.75852920565602E-3","AIF1/HLA-DPB1/IFITM3/HLA-DRB5/ACTG1/CCL4/CXCL16/CCL3L3","8"
"Cluster2","GO:0002218","activation of innate immune response","10/131","319/18670","8.5693050365780104E-5","2.2938676534755699E-3","1.82400387537577E-3","UBA52/PSMB6/CD14/S100A8/RPS27A/PSME2/S100A9/PSMB3/NOP53/LYN","10"
"Cluster2","GO:1904951","positive regulation of establishment of protein localization","12/131","456/18670","8.96298419213423E-5","2.3742571667288901E-3","1.88792682380371E-3","AIF1/GLUL/CD14/TREM2/PPIA/MPC2/BCAP31/CHP1/UBL5/RACK1/RAN/PHPT1","12"
"Cluster2","GO:0050870","positive regulation of T cell activation","8/131","202/18670","9.0737263927250506E-5","2.3788130120309101E-3","1.8915494737303099E-3","AIF1/HLA-DPB1/RPS3/TFRC/CD83/LGALS1/LYN/VSIR","8"
"Cluster2","GO:1901800","positive regulation of proteasomal protein catabolic process","6/131","104/18670","9.1975653990161003E-5","2.3866743683365302E-3","1.8978005511825901E-3","RNF144B/TREM2/RBX1/BCAP31/RACK1/NOP53","6"
"Cluster2","GO:0009108","coenzyme biosynthetic process","9/131","261/18670","9.5262194000549807E-5","2.4469874681151299E-3","1.9457594330149501E-3","ALDOA/NAMPT/ENO1/TPI1/MPC2/ACSL1/PGK1/PPT1/LDHA","9"
"Cluster2","GO:0051188","cofactor biosynthetic process","10/131","326/18670","1.02478725977507E-4","2.6013955187388E-3","2.0685393511589E-3","ALDOA/NAMPT/ENO1/TPI1/TSPO/MPC2/ACSL1/PGK1/PPT1/LDHA","10"
"Cluster2","GO:0045807","positive regulation of endocytosis","7/131","153/18670","1.03319287216917E-4","2.6013955187388E-3","2.0685393511589E-3","CD63/RAB31/CD14/TREM2/PPT1/LMAN2/VEGFA","7"
"Cluster2","GO:0050867","positive regulation of cell activation","11/131","394/18670","1.0603361005445E-4","2.6435634349849602E-3","2.1020698133601499E-3","AIF1/HLA-DPB1/RPS3/TFRC/VAMP8/TREM2/CD83/PLEK/LGALS1/LYN/VSIR","11"
"Cluster2","GO:0070555","response to interleukin-1","8/131","207/18670","1.07536308727184E-4","2.6549983795459099E-3","2.1111624840564102E-3","UBA52/PSMB6/CCL4/RPS27A/PSME2/RBX1/CCL3L3/PSMB3","8"
"Cluster2","GO:0006007","glucose catabolic process","4/131","36/18670","1.14577091768478E-4","2.8016302343003702E-3","2.2277590413688798E-3","ALDOA/ENO1/TPI1/PGK1","4"
"Cluster2","GO:1902570","protein localization to nucleolus","3/131","14/18670","1.16131064179522E-4","2.81258377341451E-3","2.2364689151765601E-3","GLUL/RAN/NOP53","3"
"Cluster2","GO:0006732","coenzyme metabolic process","11/131","403/18670","1.29305017439235E-4","3.1021005598865399E-3","2.4666826067603698E-3","ALDOA/NAMPT/ENO1/TPI1/SLC2A3/MPC2/ACSL1/MTHFD2/PGK1/PPT1/LDHA","11"
"Cluster2","GO:0007159","leukocyte cell-cell adhesion","10/131","337/18670","1.3445966716755199E-4","3.19561620193537E-3","2.5410429968407999E-3","AIF1/HLA-DPB1/RPS3/TFRC/S100A8/S100A9/CD83/LGALS1/LYN/VSIR","10"
"Cluster2","GO:0006754","ATP biosynthetic process","7/131","160/18670","1.3654682472963699E-4","3.2151719934024798E-3","2.5565930829009099E-3","ALDOA/ENO1/TPI1/TREM2/COX5B/PGK1/LDHA","7"
"Cluster2","GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","3/131","15/18670","1.4441978451756499E-4","3.3693533213593301E-3","2.6791927190559302E-3","UQCRQ/UQCR10/UQCRB","3"
"Cluster2","GO:1903039","positive regulation of leukocyte cell-cell adhesion","8/131","218/18670","1.5367726290706701E-4","3.5527389052060999E-3","2.8250145650189E-3","AIF1/HLA-DPB1/RPS3/TFRC/CD83/LGALS1/LYN/VSIR","8"
"Cluster2","GO:0042769","DNA damage response, detection of DNA damage","4/131","39/18670","1.5740559104511099E-4","3.6061479101596001E-3","2.86748355047565E-3","RPS3/UBA52/RPS27A/RBX1","4"
"Cluster2","GO:0006734","NADH metabolic process","4/131","40/18670","1.7394943088666E-4","3.9495839530783502E-3","3.14057196177888E-3","ALDOA/ENO1/TPI1/PGK1","4"
"Cluster2","GO:0051238","sequestering of metal ion","3/131","16/18670","1.7683665285784901E-4","3.9796071523673301E-3","3.1644453669299201E-3","FTL/S100A8/S100A9","3"
"Cluster2","GO:1903052","positive regulation of proteolysis involved in cellular protein catabolic process","6/131","120/18670","2.0208740427134499E-4","4.5079672724739504E-3","3.58457898065793E-3","RNF144B/TREM2/RBX1/BCAP31/RACK1/NOP53","6"
"Cluster2","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","7/131","171/18670","2.0585782473910599E-4","4.5521430287960704E-3","3.6197060075407201E-3","ALDOA/ENO1/TPI1/TREM2/COX5B/PGK1/LDHA","7"
"Cluster2","GO:0002791","regulation of peptide secretion","12/131","500/18670","2.1134692941449001E-4","4.6332348405262796E-3","3.68418739932156E-3","AIF1/GLUL/SRGN/CD14/TREM2/S100A8/PPIA/MPC2/SLC25A5/ANXA5/PHPT1/LYN","12"
"Cluster2","GO:0009145","purine nucleoside triphosphate biosynthetic process","7/131","172/18670","2.1335489543097E-4","4.6372777699226998E-3","3.6874021963373199E-3","ALDOA/ENO1/TPI1/TREM2/COX5B/PGK1/LDHA","7"
"Cluster2","GO:0009743","response to carbohydrate","8/131","230/18670","2.2149767694974401E-4","4.7734626481626997E-3","3.7956916808247801E-3","GLUL/NAMPT/MPC2/LDHA/RACK1/PHPT1/LGALS1/LYN","8"
"Cluster2","GO:0043687","post-translational protein modification","10/131","361/18670","2.3435532736397E-4","5.0081142645930698E-3","3.98227849505693E-3","ELOB/CST3/SERPINA1/PSMB6/PSME2/RBX1/PSMB3/ELOC/LGALS1/COPS6","10"
"Cluster2","GO:0002478","antigen processing and presentation of exogenous peptide antigen","7/131","175/18670","2.3717852543298301E-4","5.0262082514673E-3","3.9966662048838602E-3","HLA-DPB1/HLA-DRB5/CAPZA1/PSMB6/VAMP8/PSME2/PSMB3","7"
"Cluster2","GO:0009201","ribonucleoside triphosphate biosynthetic process","7/131","177/18670","2.5421937163855199E-4","5.3428087774945298E-3","4.2484159453471896E-3","ALDOA/ENO1/TPI1/TREM2/COX5B/PGK1/LDHA","7"
"Cluster2","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","5/131","81/18670","2.6337985200474101E-4","5.4899587184266902E-3","4.3654244667912599E-3","RNF144B/RBX1/BCAP31/RACK1/NOP53","5"
"Cluster2","GO:0060326","cell chemotaxis","9/131","304/18670","2.97914537979203E-4","6.1593225209846704E-3","4.8976793107235704E-3","AIF1/CCL4/S100A8/CXCL16/S100A9/CCL3L3/VEGFA/C3AR1/LYN","9"
"Cluster2","GO:0019884","antigen processing and presentation of exogenous antigen","7/131","182/18670","3.0116643130697398E-4","6.17634060333577E-3","4.9112114986476904E-3","HLA-DPB1/HLA-DRB5/CAPZA1/PSMB6/VAMP8/PSME2/PSMB3","7"
"Cluster2","GO:0009127","purine nucleoside monophosphate biosynthetic process","7/131","183/18670","3.1134189911623001E-4","6.1854878863482196E-3","4.91848510034768E-3","ALDOA/ENO1/TPI1/TREM2/COX5B/PGK1/LDHA","7"
"Cluster2","GO:0009168","purine ribonucleoside monophosphate biosynthetic process","7/131","183/18670","3.1134189911623001E-4","6.1854878863482196E-3","4.91848510034768E-3","ALDOA/ENO1/TPI1/TREM2/COX5B/PGK1/LDHA","7"
"Cluster2","GO:0038061","NIK/NF-kappaB signaling","7/131","183/18670","3.1134189911623001E-4","6.1854878863482196E-3","4.91848510034768E-3","RPS3/PSMB6/CD14/LIMS1/TREM2/PSME2/PSMB3","7"
"Cluster2","GO:0061136","regulation of proteasomal protein catabolic process","7/131","183/18670","3.1134189911623001E-4","6.1854878863482196E-3","4.91848510034768E-3","RNF144B/TREM2/PSME2/RBX1/BCAP31/RACK1/NOP53","7"
"Cluster2","GO:0045088","regulation of innate immune response","11/131","452/18670","3.47196590697285E-4","6.8443482956836799E-3","5.4423880108485003E-3","UBA52/PSMB6/CD14/TREM2/S100A8/RPS27A/PSME2/S100A9/PSMB3/NOP53/LYN","11"
"Cluster2","GO:0002696","positive regulation of leukocyte activation","10/131","380/18670","3.5220370731147701E-4","6.8896463668698896E-3","5.4784074635250797E-3","AIF1/HLA-DPB1/RPS3/TFRC/VAMP8/TREM2/CD83/LGALS1/LYN/VSIR","10"
"Cluster2","GO:0045089","positive regulation of innate immune response","10/131","381/18670","3.5957355636091E-4","6.9801187314946101E-3","5.5503479451129599E-3","UBA52/PSMB6/CD14/S100A8/RPS27A/PSME2/S100A9/PSMB3/NOP53/LYN","10"
"Cluster2","GO:0009142","nucleoside triphosphate biosynthetic process","7/131","188/18670","3.6644401968441301E-4","7.0595995610413702E-3","5.61354833982262E-3","ALDOA/ENO1/TPI1/TREM2/COX5B/PGK1/LDHA","7"
"Cluster2","GO:0019362","pyridine nucleotide metabolic process","7/131","189/18670","3.78348198345717E-4","7.1801452865160997E-3","5.7094021132924003E-3","ALDOA/NAMPT/ENO1/TPI1/MPC2/PGK1/LDHA","7"
"Cluster2","GO:0046496","nicotinamide nucleotide metabolic process","7/131","189/18670","3.78348198345717E-4","7.1801452865160997E-3","5.7094021132924003E-3","ALDOA/NAMPT/ENO1/TPI1/MPC2/PGK1/LDHA","7"
"Cluster2","GO:0046939","nucleotide phosphorylation","6/131","136/18670","3.9688309129307401E-4","7.4761014900613897E-3","5.9447362056451901E-3","ALDOA/ENO1/TPI1/PGK1/LDHA/GUK1","6"
"Cluster2","GO:0009135","purine nucleoside diphosphate metabolic process","6/131","138/18670","4.2901392434304E-4","7.9170894669479807E-3","6.2953945261531403E-3","ALDOA/ENO1/TPI1/PGK1/LDHA/GUK1","6"
"Cluster2","GO:0009179","purine ribonucleoside diphosphate metabolic process","6/131","138/18670","4.2901392434304E-4","7.9170894669479807E-3","6.2953945261531403E-3","ALDOA/ENO1/TPI1/PGK1/LDHA/GUK1","6"
"Cluster2","GO:0071674","mononuclear cell migration","5/131","90/18670","4.29633639968078E-4","7.9170894669479807E-3","6.2953945261531403E-3","AIF1/CCL4/CCL3L3/C3AR1/LYN","5"
"Cluster2","GO:0022409","positive regulation of cell-cell adhesion","8/131","255/18670","4.4249504238166903E-4","8.0954308832847793E-3","6.4372054253327201E-3","AIF1/HLA-DPB1/RPS3/TFRC/CD83/LGALS1/LYN/VSIR","8"
"Cluster2","GO:0072524","pyridine-containing compound metabolic process","7/131","195/18670","4.5644222533906099E-4","8.1799491350004108E-3","6.5044114031648399E-3","ALDOA/NAMPT/ENO1/TPI1/MPC2/PGK1/LDHA","7"
"Cluster2","GO:0043254","regulation of protein complex assembly","11/131","467/18670","4.5686445184948201E-4","8.1799491350004108E-3","6.5044114031648399E-3","PFN1/TMSB10/RPS3/CAPZA1/EIF4EBP1/COTL1/RBX1/PLEK/VEGFA/RACK1/NOP53","11"
"Cluster2","GO:0009185","ribonucleoside diphosphate metabolic process","6/131","140/18670","4.6314086885003398E-4","8.1799491350004108E-3","6.5044114031648399E-3","ALDOA/ENO1/TPI1/PGK1/LDHA/GUK1","6"
"Cluster2","GO:1903364","positive regulation of cellular protein catabolic process","6/131","140/18670","4.6314086885003398E-4","8.1799491350004108E-3","6.5044114031648399E-3","RNF144B/TREM2/RBX1/BCAP31/RACK1/NOP53","6"
"Cluster2","GO:0032103","positive regulation of response to external stimulus","9/131","323/18670","4.63198063484097E-4","8.1799491350004108E-3","6.5044114031648399E-3","AIF1/VAMP8/CCL4/TREM2/S100A8/S100A9/CCL3L3/VEGFA/C3AR1","9"
"Cluster2","GO:0000717","nucleotide-excision repair, DNA duplex unwinding","3/131","22/18670","4.7155601432195902E-4","8.2701168580740798E-3","6.5761096443737403E-3","UBA52/RPS27A/RBX1","3"
"Cluster2","GO:0019319","hexose biosynthetic process","5/131","92/18670","4.7540349864071401E-4","8.2804869660502399E-3","6.5843555940072896E-3","ALDOA/ENO1/TPI1/PGK1/AKR1B1","5"
"Cluster2","GO:0002221","pattern recognition receptor signaling pathway","7/131","197/18670","4.85157276356716E-4","8.3361821201022104E-3","6.6286424458125897E-3","UBA52/CD14/S100A8/RPS27A/S100A9/NOP53/LYN","7"
"Cluster2","GO:0009156","ribonucleoside monophosphate biosynthetic process","7/131","197/18670","4.85157276356716E-4","8.3361821201022104E-3","6.6286424458125897E-3","ALDOA/ENO1/TPI1/TREM2/COX5B/PGK1/LDHA","7"
"Cluster2","GO:0050708","regulation of protein secretion","11/131","472/18670","4.99333602829943E-4","8.4702170470078303E-3","6.7352223636823602E-3","AIF1/GLUL/SRGN/CD14/TREM2/PPIA/MPC2/SLC25A5/ANXA5/PHPT1/LYN","11"
"Cluster2","GO:0010972","negative regulation of G2/M transition of mitotic cell cycle","5/131","93/18670","4.9961956628044601E-4","8.4702170470078303E-3","6.7352223636823602E-3","PSMB6/PSME2/RBX1/PSMB3/NOP53","5"
"Cluster2","GO:0002429","immune response-activating cell surface receptor signaling pathway","11/131","473/18670","5.0821268218802901E-4","8.5588400715507097E-3","6.8056923142781698E-3","HLA-DPB1/RPS3/HLA-DRB5/FPR1/PSMB6/ACTG1/PSME2/PSMB3/C3AR1/PHPT1/LYN","11"
"Cluster2","GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","5/131","95/18670","5.5082413037257601E-4","9.2154326548517101E-3","7.3277919282944502E-3","RNF144B/RBX1/BCAP31/RACK1/NOP53","5"
"Cluster2","GO:0045785","positive regulation of cell adhesion","10/131","403/18670","5.5743099199580205E-4","9.2414973742792807E-3","7.3485176877664199E-3","AIF1/HLA-DPB1/RPS3/TFRC/LIMS1/CD83/VEGFA/LGALS1/LYN/VSIR","10"
"Cluster2","GO:0009746","response to hexose","7/131","202/18670","5.6328434644643702E-4","9.2414973742792807E-3","7.3485176877664199E-3","GLUL/NAMPT/MPC2/LDHA/RACK1/PHPT1/LGALS1","7"
"Cluster2","GO:0050852","T cell receptor signaling pathway","7/131","202/18670","5.6328434644643702E-4","9.2414973742792807E-3","7.3485176877664199E-3","HLA-DPB1/RPS3/HLA-DRB5/PSMB6/PSME2/PSMB3/PHPT1","7"
"Cluster2","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","5/131","96/18670","5.77857278513169E-4","9.3679212632907898E-3","7.4490455726893704E-3","PSMB6/VAMP8/PSME2/BCAP31/PSMB3","5"
"Cluster2","GO:0002224","toll-like receptor signaling pathway","6/131","146/18670","5.7835770284571603E-4","9.3679212632907898E-3","7.4490455726893704E-3","UBA52/CD14/S100A8/RPS27A/S100A9/LYN","6"
"Cluster2","GO:0019359","nicotinamide nucleotide biosynthetic process","6/131","147/18670","5.9954835619648299E-4","9.5890029547651308E-3","7.6248420539784404E-3","ALDOA/NAMPT/ENO1/TPI1/PGK1/LDHA","6"
"Cluster2","GO:0019363","pyridine nucleotide biosynthetic process","6/131","147/18670","5.9954835619648299E-4","9.5890029547651308E-3","7.6248420539784404E-3","ALDOA/NAMPT/ENO1/TPI1/PGK1/LDHA","6"
"Cluster3","GO:0043312","neutrophil degranulation","13/78","485/18670","9.8909586943562103E-8","5.40555490175352E-5","4.3633416481084097E-5","FPR1/PSMD11/CTSD/CPNE1/OLR1/PAFAH1B2/GMFG/C5AR1/CD63/LYZ/S100A8/STOM/PIGR","13"
"Cluster3","GO:0002283","neutrophil activation involved in immune response","13/78","488/18670","1.06219722112562E-7","5.40555490175352E-5","4.3633416481084097E-5","FPR1/PSMD11/CTSD/CPNE1/OLR1/PAFAH1B2/GMFG/C5AR1/CD63/LYZ/S100A8/STOM/PIGR","13"
"Cluster3","GO:0042119","neutrophil activation","13/78","498/18670","1.3423326911286E-7","5.40555490175352E-5","4.3633416481084097E-5","FPR1/PSMD11/CTSD/CPNE1/OLR1/PAFAH1B2/GMFG/C5AR1/CD63/LYZ/S100A8/STOM/PIGR","13"
"Cluster3","GO:0002446","neutrophil mediated immunity","13/78","499/18670","1.37371153792974E-7","5.40555490175352E-5","4.3633416481084097E-5","FPR1/PSMD11/CTSD/CPNE1/OLR1/PAFAH1B2/GMFG/C5AR1/CD63/LYZ/S100A8/STOM/PIGR","13"
"Cluster3","GO:0048002","antigen processing and presentation of peptide antigen","8/78","189/18670","1.2173940739216701E-6","3.8323565447053999E-4","3.0934624152072698E-4","PSMD11/PSMB4/HLA-DRB5/CTSD/TREM2/PSMB3/DCTN4/BCAP31","8"
"Cluster3","GO:0006612","protein targeting to membrane","8/78","202/18670","2.0041458600588098E-6","5.2575426395542698E-4","4.2438667598087399E-4","RPL27/RPS19/CHP1/RPS15A/SSR1/RPS2/RPS29/STOM","8"
"Cluster3","GO:0006402","mRNA catabolic process","10/78","364/18670","2.7184623905885999E-6","6.1126568611235101E-4","4.9341114367525498E-4","PSMD11/PSMB4/RPL27/RPS19/PSMB3/RPS15A/HNRNPR/RPS2/RPS29/HNRNPC","10"
"Cluster3","GO:0019882","antigen processing and presentation","8/78","226/18670","4.60997757850372E-6","9.0701308857060595E-4","7.3213722858605102E-4","PSMD11/PSMB4/HLA-DRB5/CTSD/TREM2/PSMB3/DCTN4/BCAP31","8"
"Cluster3","GO:0006401","RNA catabolic process","10/78","397/18670","5.8596894035636502E-6","9.90737624989788E-4","7.9971932947413499E-4","PSMD11/PSMB4/RPL27/RPS19/PSMB3/RPS15A/HNRNPR/RPS2/RPS29/HNRNPC","10"
"Cluster3","GO:0006613","cotranslational protein targeting to membrane","6/78","109/18670","6.2943940596555798E-6","9.90737624989788E-4","7.9971932947413499E-4","RPL27/RPS19/RPS15A/SSR1/RPS2/RPS29","6"
"Cluster3","GO:0090150","establishment of protein localization to membrane","9/78","332/18670","9.9011095976658602E-6","1.41675877333873E-3","1.1436018453954699E-3","RPL27/RPS19/CHP1/RPS15A/SSR1/RPS2/RPS29/STOM/YWHAG","9"
"Cluster3","GO:0006605","protein targeting","10/78","432/18670","1.22476441700486E-5","1.6064826603047E-3","1.29674618537269E-3","RPL27/RPS19/CHP1/GSTK1/RPS15A/SSR1/RPS2/RPS29/STOM/YWHAG","10"
"Cluster3","GO:0034314","Arp2/3 complex-mediated actin nucleation","4/78","36/18670","1.49999369184817E-5","1.7022408839017099E-3","1.3740418289770399E-3","ARPC4/GMFG/ARPC2/ARPC3","4"
"Cluster3","GO:0043620","regulation of DNA-templated transcription in response to stress","6/78","127/18670","1.5140643185911001E-5","1.7022408839017099E-3","1.3740418289770399E-3","PSMD11/PSMB4/RPS6KA1/PSMB3/RBX1/ELOC","6"
"Cluster3","GO:0061418","regulation of transcription from RNA polymerase II promoter in response to hypoxia","5/78","77/18670","1.74598922146809E-5","1.83212468972718E-3","1.47888350197332E-3","PSMD11/PSMB4/PSMB3/RBX1/ELOC","5"
"Cluster3","GO:0006119","oxidative phosphorylation","6/78","145/18670","3.2082715432882501E-5","3.15613713070982E-3","2.5476208899663901E-3","NDUFA6/NIPSNAP2/UQCRQ/NDUFB7/NDUFC1/COX7A2","6"
"Cluster3","GO:0070972","protein localization to endoplasmic reticulum","6/78","147/18670","3.4651965988085899E-5","3.20836438030866E-3","2.5897785106885202E-3","RPL27/RPS19/RPS15A/RPS2/RPS29/BCAP31","6"
"Cluster3","GO:0045010","actin nucleation","4/78","49/18670","5.1778103663356597E-5","4.5277075092290701E-3","3.6547468492205502E-3","ARPC4/GMFG/ARPC2/ARPC3","4"
"Cluster3","GO:0038093","Fc receptor signaling pathway","7/78","241/18670","6.6346190285160206E-5","5.4962580794127502E-3","4.4365568794564204E-3","PSMD11/PSMB4/ARPC4/ARPC2/PSMB3/ARPC3/PIGR","7"
"Cluster3","GO:0009205","purine ribonucleoside triphosphate metabolic process","8/78","335/18670","7.77750223393689E-5","5.8393425082498502E-3","4.7134932170518097E-3","NDUFA6/NIPSNAP2/UQCRQ/TREM2/RAN/NDUFB7/NDUFC1/COX7A2","8"
"Cluster3","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","5/78","105/18670","7.7907365103714593E-5","5.8393425082498502E-3","4.7134932170518097E-3","RPL27/RPS19/RPS15A/RPS2/RPS29","5"
"Cluster3","GO:0009199","ribonucleoside triphosphate metabolic process","8/78","341/18670","8.7995204250827E-5","5.9978279219342796E-3","4.8414219900853898E-3","NDUFA6/NIPSNAP2/UQCRQ/TREM2/RAN/NDUFB7/NDUFC1/COX7A2","8"
"Cluster3","GO:0009144","purine nucleoside triphosphate metabolic process","8/78","342/18670","8.9802341958050897E-5","5.9978279219342796E-3","4.8414219900853898E-3","NDUFA6/NIPSNAP2/UQCRQ/TREM2/RAN/NDUFB7/NDUFC1/COX7A2","8"
"Cluster3","GO:0002478","antigen processing and presentation of exogenous peptide antigen","6/78","175/18670","9.1453538835084306E-5","5.9978279219342796E-3","4.8414219900853898E-3","PSMD11/PSMB4/HLA-DRB5/CTSD/PSMB3/DCTN4","6"
"Cluster3","GO:0019884","antigen processing and presentation of exogenous antigen","6/78","182/18670","1.13459462611239E-4","7.1434077660035801E-3","5.7661293209164202E-3","PSMD11/PSMB4/HLA-DRB5/CTSD/PSMB3/DCTN4","6"
"Cluster3","GO:0006521","regulation of cellular amino acid metabolic process","4/78","62/18670","1.30835855622131E-4","7.5487754228542297E-3","6.0933404235839301E-3","PSMD11/PSMB4/OAZ1/PSMB3","4"
"Cluster3","GO:0009141","nucleoside triphosphate metabolic process","8/78","362/18670","1.3296033406101399E-4","7.5487754228542297E-3","6.0933404235839301E-3","NDUFA6/NIPSNAP2/UQCRQ/TREM2/RAN/NDUFB7/NDUFC1/COX7A2","8"
"Cluster3","GO:0045047","protein targeting to ER","5/78","118/18670","1.3533060137299599E-4","7.5487754228542297E-3","6.0933404235839301E-3","RPL27/RPS19/RPS15A/RPS2/RPS29","5"
"Cluster3","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","5/78","120/18670","1.4645452189982101E-4","7.5487754228542297E-3","6.0933404235839301E-3","RPL27/RPS19/RPS15A/RPS2/RPS29","5"
"Cluster3","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","5/78","121/18670","1.5227230323027399E-4","7.5487754228542297E-3","6.0933404235839301E-3","PSMD11/PSMB4/PSMB3/RBX1/ELOC","5"
"Cluster3","GO:0002429","immune response-activating cell surface receptor signaling pathway","9/78","473/18670","1.54345115743442E-4","7.5487754228542297E-3","6.0933404235839301E-3","FPR1/PSMD11/PSMB4/HLA-DRB5/ARPC4/C5AR1/ARPC2/PSMB3/ARPC3","9"
"Cluster3","GO:0006413","translational initiation","6/78","193/18670","1.5634839644636001E-4","7.5487754228542297E-3","6.0933404235839301E-3","RPL27/RPS19/EIF2S3/RPS15A/RPS2/RPS29","6"
"Cluster3","GO:0072599","establishment of protein localization to endoplasmic reticulum","5/78","122/18670","1.5826530429109901E-4","7.5487754228542297E-3","6.0933404235839301E-3","RPL27/RPS19/RPS15A/RPS2/RPS29","5"
"Cluster4","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","6/44","101/18670","1.28930963853863E-7","1.0837426677018099E-4","8.0466498588120699E-5","CTSD/HLA-DPA1/HLA-DMB/TREM2/HLA-DRB5/HLA-DMA","6"
"Cluster4","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","6/44","102/18670","1.3674986343240501E-7","1.0837426677018099E-4","8.0466498588120699E-5","CTSD/HLA-DPA1/HLA-DMB/TREM2/HLA-DRB5/HLA-DMA","6"
"Cluster4","GO:0048002","antigen processing and presentation of peptide antigen","7/44","189/18670","2.7217644728551302E-7","1.4379988964917899E-4","1.06769567742177E-4","CTSD/HLA-DPA1/HLA-DMB/TREM2/VAMP8/HLA-DRB5/HLA-DMA","7"
"Cluster4","GO:0019882","antigen processing and presentation","7/44","226/18670","9.0874630945290601E-7","3.6009072512071399E-4","2.67362729991671E-4","CTSD/HLA-DPA1/HLA-DMB/TREM2/VAMP8/HLA-DRB5/HLA-DMA","7"
"Cluster4","GO:0002478","antigen processing and presentation of exogenous peptide antigen","6/44","175/18670","3.26990772281879E-6","8.7693909017983905E-4","6.5111599058347003E-4","CTSD/HLA-DPA1/HLA-DMB/VAMP8/HLA-DRB5/HLA-DMA","6"
"Cluster4","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","5/44","98/18670","3.3196432435829901E-6","8.7693909017983905E-4","6.5111599058347003E-4","CTSD/HLA-DPA1/HLA-DMB/HLA-DRB5/HLA-DMA","5"
"Cluster4","GO:0019884","antigen processing and presentation of exogenous antigen","6/44","182/18670","4.1008999803900802E-6","9.2856092413118297E-4","6.8944453805655796E-4","CTSD/HLA-DPA1/HLA-DMB/VAMP8/HLA-DRB5/HLA-DMA","6"
"Cluster4","GO:0002573","myeloid leukocyte differentiation","6/44","204/18670","7.8967969661043508E-6","1.5645528989094201E-3","1.1616603958032399E-3","MEF2C/PARP1/GNAS/FBXW7/TREM2/PTPN2","6"
