names,scores,logfoldchanges,pvals,pvals_adj,te_name,te_class,te_family
L1MEc#LINE#L1,-7.3655906,-0.3949794,1.7636403258271494e-13,9.932501653181081e-12,L1MEc#LINE#L1,LINE,L1
MER65-int#LTR#ERV1,-7.4728074,-0.77369136,7.850171842353167e-14,4.523889726825848e-12,MER65-int#LTR#ERV1,LTR,ERV1
L1MB5#LINE#L1,-7.480797,-0.45277926,7.38733880856664e-14,4.358529897054317e-12,L1MB5#LINE#L1,LINE,L1
tRNA-Gln-CAA_#tRNA#tRNA,-7.606436,-1.2704749,2.817578728462494e-14,1.702917094909771e-12,tRNA-Gln-CAA_#tRNA#tRNA,tRNA,tRNA
L1ME4b#LINE#L1,-7.801488,-0.39539775,6.118156698525601e-15,3.887382640755497e-13,L1ME4b#LINE#L1,LINE,L1
AluYf1#SINE#Alu,-7.805595,-0.41347212,5.92215013984421e-15,3.8618652754036714e-13,AluYf1#SINE#Alu,SINE,Alu
(AAAT)n#Simple_repeat#Simple_repeat,-7.9108796,-0.4309374,2.5557670051019822e-15,1.7592196218451978e-13,(AAAT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
LSU-rRNA_Hsa#rRNA#rRNA,-7.9136434,-0.42804,2.4996415022619374e-15,1.7592196218451978e-13,LSU-rRNA_Hsa#rRNA#rRNA,rRNA,rRNA
L1MB4#LINE#L1,-7.9877696,-0.4678303,1.3740212250006429e-15,1.0317650289550281e-13,L1MB4#LINE#L1,LINE,L1
AluYh3#SINE#Alu,-8.02285,-0.44090778,1.0331967465769325e-15,8.000817306305122e-14,AluYh3#SINE#Alu,SINE,Alu
(CTTTTT)n#Simple_repeat#Simple_repeat,-8.028257,-1.2630455,9.886713171140497e-16,7.902992012285855e-14,(CTTTTT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
MER30#DNA#hAT-Charlie,-8.26201,-0.51575077,1.4323987182875085e-16,1.267672865684445e-14,MER30#DNA#hAT-Charlie,DNA,hAT-Charlie
5S#rRNA#rRNA,-8.396027,-1.3455983,4.618396904713949e-17,4.401687511492756e-15,5S#rRNA#rRNA,rRNA,rRNA
L1ME3Cz#LINE#L1,-8.451912,-0.494173,2.8657009607349097e-17,2.8404827922804425e-15,L1ME3Cz#LINE#L1,LINE,L1
L4_C_Mam#LINE#RTE-X,-8.461579,-0.82698876,2.6378069247169333e-17,2.7235356497702333e-15,L4_C_Mam#LINE#RTE-X,LINE,RTE-X
L1MC4#LINE#L1,-8.502953,-0.50985473,1.8482774118113458e-17,1.99131801150805e-15,L1MC4#LINE#L1,LINE,L1
AmnSINE1#SINE#5S-Deu-L2,-9.038934,-0.7770394,1.5820673030723555e-19,1.8668394176253794e-17,AmnSINE1#SINE#5S-Deu-L2,SINE,5S-Deu-L2
L1ME4a#LINE#L1,-9.182349,-0.46300596,4.217857755917636e-20,5.5009744837704745e-18,L1ME4a#LINE#L1,LINE,L1
(ATTC)n#Simple_repeat#Simple_repeat,-9.267047,-1.4592338,1.9137025700228844e-20,2.789502922656887e-18,(ATTC)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
MER20#DNA#hAT-Charlie,-9.29355,-0.60316354,1.492262760211432e-20,2.3111419498774555e-18,MER20#DNA#hAT-Charlie,DNA,hAT-Charlie
MER58B#DNA#hAT-Charlie,-9.380706,-0.7175624,6.553236350069336e-21,1.0825946450314543e-18,MER58B#DNA#hAT-Charlie,DNA,hAT-Charlie
G-rich#Low_complexity#Low_complexity,-9.456209,-0.84398985,3.193110357586149e-21,6.086559589306521e-19,G-rich#Low_complexity#Low_complexity,Low_complexity,Low_complexity
L1MC5a#LINE#L1,-9.867317,-0.62082833,5.768694747655817e-23,1.4294825584691114e-20,L1MC5a#LINE#L1,LINE,L1
AluSg#SINE#Alu,-9.927611,-0.29311788,3.15729554367415e-23,8.693087063582826e-21,AluSg#SINE#Alu,SINE,Alu
L1M4c#LINE#L1,-10.029347,-0.72516394,1.1326255554277645e-23,3.5083076579375005e-21,L1M4c#LINE#L1,LINE,L1
AluSq4#SINE#Alu,-10.9934,-0.83560234,4.1114149961202515e-28,1.455440908626569e-25,AluSq4#SINE#Alu,SINE,Alu
tRNA-Ser-TCA(m)#tRNA#tRNA,-16.307045,-2.031931,8.794627102992105e-60,7.264361987071478e-57,tRNA-Ser-TCA(m)#tRNA#tRNA,tRNA,tRNA
